word,group,vector_x,vector_y
educacion,5,0.014583152,-0.24075274
energia,5,0.4307687,-0.12882398
ilusion,5,1.5523007,0.3116537
interes,5,0.40916237,0.3875099
motivacion,5,1.0493653,-0.4196356
pasion,5,1.9921944,0.06196558
vocacion,5,1.4207128,-0.38180086
abierto_a_aprender,6,-0.40152553,0.836456
afan,6,0.77426684,0.7666996
aguante,6,0.8149755,0.5574293
amar_lo_que_estudia,6,0.054317243,0.6836242
café,6,-0.22163463,1.2979865
cafe,6,-0.054170754,1.2606134
capacidad_de_no_dormir,6,-0.032347057,0.27704448
caradura,6,0.6890482,1.4857222
compañero,6,0.28516206,1.2127265
curiosidades,6,0.27860022,1.0530863
curioso,6,-0.072790824,1.5854816
currante,6,0.21280687,1.57791
dejado,6,-0.1234369,1.0212885
desvelarse,6,0.4853889,0.9927305
dinero,6,0.30498326,1.1995063
diversión,6,1.1283399,0.97754043
divertido,6,0.13586341,2.1746492
don_de_gentes,6,0.5069059,0.60750884
empeñado,6,-0.5085406,0.8045874
feliz,6,0.556839,2.003821
fiera,6,0.73542994,0.96013784
gana_de_aprender,6,0.30703852,0.8878721
ganas,6,1.5053189,1.6637148
ganas_de_aprender,6,0.84814984,1.1946259
ganas_de_estudiar,6,0.28580946,1.2212712
ganas_de_trabajar,6,0.5844081,1.328705
ganas_de_vivir,6,1.0801315,1.3273423
ganas_tiempo,6,0.70040435,1.1888461
ganas_y_vocación,6,0.9361676,0.5571818
horas_de_sueño,6,0.25409576,1.117311
humor,6,0.9032091,0.46967235
ilusiones,6,1.011444,0.552579
inquieta,6,0.39664415,0.86784196
inquieto,6,0.47673976,1.3434683
insomnio,6,0.8061477,0.90685296
interesado,6,-0.81316435,1.2136369
interés_por_aprender,6,-0.04159362,0.35086223
manitas,6,0.28657216,1.761683
ímpetu_en_aprender,6,0.33465564,0.22065945
más_ganas,6,1.5053189,1.6637148
nocturno,6,-0.38111445,1.4311614
no_dormir,6,0.7135678,1.9282404
no_estrés,6,0.16114548,0.13066359
no_necesitar_dormir_mucho,6,0.20335159,1.4370284
oportunidad,6,0.24784125,0.5405966
paciente,6,-0.14122784,0.610869
que_no_sea_gilipollas,6,0.30385232,1.9242284
querer,6,0.57395995,1.0555654
que_te_gusten_tu_grado,6,0.05538657,0.52873826
rico,6,-0.46658754,1.571468
saber,6,-0.17658764,1.00188
saber_estar,6,-0.17658764,1.00188
saber_lidiar,6,0.07496498,0.8902971
saber_lo_que_es_importante,6,-0.5656337,0.7950703
saber_portarse,6,0.19367518,1.0208713
saber_sufrir,6,0.011290015,0.93335307
sacrificada,6,0.33702755,0.46615586
serio,6,-0.11092654,1.1183038
sueños,6,1.0831307,1.062332
suerte,6,0.936878,0.8817692
tiempo,6,-0.10451009,0.7139774
tiempo_libre,6,-0.3733792,0.77688164
trabjo,6,-0.4517468,0.8787013
una_vida,6,0.44022337,0.48907506
un_buen_profesor,6,-0.27782378,1.1011274
